"","ID","human_entrez","name","B_vs_A_p.val","C_vs_A_p.val","B_vs_A_p.adj","C_vs_A_p.adj","B_vs_A_significant","C_vs_A_significant","significant","B_vs_A_ratio","C_vs_A_ratio","A_centered","B_centered","C_centered"
"101","O14744",10419,"PRMT5",0.531296084576241,0.22159078693272,1,0.000433,FALSE,FALSE,FALSE,0.142,0.277,-0.14,0.00224,0.137
"102","O14745",9368,"SLC9A3R1",0.734702319840011,0.272249891836611,1,0.000916,FALSE,FALSE,FALSE,0.0767,0.249,-0.108,-0.0317,0.14
"103","O14773",1200,"TPP1",0.0962628441877036,0.00925589646029926,1,9.27e-10,FALSE,TRUE,TRUE,0.377,0.589,-0.322,0.0547,0.267
"104","O14776",10915,"TCERG1",0.365667659519149,0.673765932172838,1,0.0209,FALSE,FALSE,FALSE,0.205,0.0953,-0.1,0.105,-0.00473
"105","O14786",8829,"NRP1",0.919124404750194,0.0170771131837907,1,1.41e-08,FALSE,FALSE,FALSE,-0.023,0.54,-0.172,-0.195,0.368
"106","O14787",30000,"TNPO2",0.120970401235802,0.00441792480580795,1,3.22e-11,FALSE,TRUE,TRUE,0.351,0.645,-0.332,0.0192,0.313
"107","O14802",11128,"POLR3A",0.162322035411883,0.0021739992661428,1,1.2e-12,FALSE,TRUE,TRUE,0.316,0.694,-0.337,-0.0205,0.357
"108","O14818",5688,"PSMA7",0.423293368724037,0.179967270496053,1,0.000205,FALSE,FALSE,FALSE,0.181,0.304,-0.162,0.0197,0.142
"109","O14828",10067,"SCAMP3",0.688101891553938,0.498127873079816,1,0.00777,FALSE,FALSE,FALSE,0.0909,0.153,-0.0814,0.00947,0.072
"110","O14841",26873,"OPLAH",0.80639326886929,0.116992736784874,1,4.13e-05,FALSE,FALSE,FALSE,0.0555,0.355,-0.137,-0.0813,0.218
"111","O14874",10295,"BCKDK",0.0769937892889979,0.0766706682039987,1,8.03e-06,FALSE,FALSE,FALSE,0.401,0.401,-0.267,0.133,0.134
"112","O14879",3437,"IFIT3",0.747066298022594,0.0563957593421192,1,2.31e-06,FALSE,FALSE,FALSE,-0.073,0.432,-0.12,-0.193,0.312
"113","O14880",4259,"MGST3",0.348632888826959,0.248819261910716,1,0.000661,FALSE,FALSE,FALSE,0.212,0.261,-0.158,0.0545,0.103
"114","O14893",8487,"GEMIN2",0.152678342758148,0.112009568913764,1,3.49e-05,FALSE,FALSE,FALSE,0.324,0.36,-0.228,0.096,0.132
"115","O14907",30851,"TAX1BP3",0.257119255243749,0.12760530753212,1,5.76e-05,FALSE,FALSE,FALSE,0.257,0.345,-0.201,0.0561,0.144
"116","O14908",10755,"GIPC1",0.923005873154925,0.647981242286103,1,0.0185,FALSE,FALSE,FALSE,0.0219,0.103,-0.0418,-0.0199,0.0616
"117","O14920",3551,"IKBKB",0.0425276849903741,0.00559118467033826,1,9.36e-11,FALSE,TRUE,TRUE,0.459,0.628,-0.362,0.0971,0.265
"118","O14929",8520,"HAT1",0.471939045021432,0.164515809904475,1,0.000148,FALSE,FALSE,FALSE,0.163,0.315,-0.159,0.00367,0.156
"119","O14933",9246,"UBE2L6",0.758505596486249,0.138946999027455,1,7.94e-05,FALSE,FALSE,FALSE,-0.0696,0.335,-0.0885,-0.158,0.247
"120","O14936",8573,"CASK",0.259971527153633,0.0915473586622493,1,1.62e-05,FALSE,FALSE,FALSE,0.255,0.382,-0.212,0.0427,0.17
"121","O14949",27089,"UQCRQ",0.100484068171946,0.318150198683795,1,0.0016,FALSE,FALSE,FALSE,0.372,0.226,-0.199,0.173,0.0267
"122","O14957",10975,"UQCR11",0.00628472823343201,3.60728178217502e-06,1,7.56e-16,TRUE,TRUE,TRUE,0.619,1.05,-0.556,0.0628,0.493
"123","O14964",9146,"HGS",0.796856372536353,0.248445835522739,1,0.000657,FALSE,FALSE,FALSE,0.0583,0.261,-0.107,-0.0483,0.155
"124","O14965",6790,"AURKA",0.15105476673959,0.377723897875904,1,0.00295,FALSE,FALSE,FALSE,-0.325,0.2,0.0418,-0.283,0.242
"125","O14972",10311,"DSCR3",0.857532171655106,0.281610026261976,1,0.00103,FALSE,FALSE,FALSE,-0.0407,0.244,-0.0677,-0.108,0.176
"126","O14974",4659,"PPP1R12A",0.307440119994564,0.412017555098829,1,0.00401,FALSE,FALSE,FALSE,0.231,0.186,-0.139,0.0922,0.0468
"127","O14975",11001,"SLC27A2",0.174608246268115,0.0504094991817272,1,1.47e-06,FALSE,FALSE,FALSE,0.307,0.443,-0.25,0.0573,0.193
"128","O14976",2580,"GAK",0.929756594108864,0.471311198896075,1,0.0064,FALSE,FALSE,FALSE,-0.02,0.163,-0.0477,-0.0677,0.115
"129","O14979",9987,"HNRNPDL",0.248995049563113,0.100354134771052,1,2.31e-05,FALSE,FALSE,FALSE,0.261,0.372,-0.211,0.05,0.161
"130","O14980",7514,"XPO1",0.336819993165348,0.129174500460877,1,6.03e-05,FALSE,FALSE,FALSE,0.218,0.344,-0.187,0.0305,0.157
"131","O14981",9044,"BTAF1",0.0760915528221818,0.174395301551406,1,0.000183,FALSE,FALSE,FALSE,0.402,0.308,-0.236,0.165,0.0712
"132","O15013",9639,"ARHGEF10",0.663194688208405,0.0765245577922376,1,7.97e-06,FALSE,FALSE,FALSE,0.0986,0.401,-0.167,-0.068,0.235
"133","O15020",6712,"SPTBN2",0.12515362413126,0.0327664397543951,1,2.45e-07,FALSE,FALSE,FALSE,0.347,0.484,-0.277,0.0704,0.207
"134","O15031",23654,"PLXNB2",0.455668442820702,0.193206027279072,1,0.000265,FALSE,FALSE,FALSE,0.169,0.295,-0.155,0.0144,0.14
"135","O15042",23350,"U2SURP",0.304484834273843,0.273908133945448,1,0.000936,FALSE,FALSE,FALSE,0.233,0.248,-0.16,0.0724,0.0877
"136","O15066",9371,"KIF3B",0.724864826370966,0.0289238847415811,1,1.44e-07,FALSE,FALSE,FALSE,0.0797,0.495,-0.191,-0.112,0.303
"137","O15067",5198,"PFAS",0.791724028333185,0.158872404930083,1,0.00013,FALSE,FALSE,FALSE,0.0598,0.319,-0.126,-0.0665,0.193
"138","O15084",23243,"ANKRD28",0.742883268741126,0.284002225283239,1,0.00106,FALSE,FALSE,FALSE,0.0743,0.243,-0.106,-0.0314,0.137
"139","O15091",9692,"KIAA0391",0.166220593663416,0.0571670985367959,1,2.45e-06,FALSE,FALSE,FALSE,0.314,0.431,-0.248,0.0654,0.183
"140","O15111",1147,"CHUK",0.547746375626472,0.544712200674773,1,0.0105,FALSE,FALSE,FALSE,0.136,0.137,-0.0911,0.045,0.0461
"141","O15116",27257,"LSM1",0.216137210633325,0.0295520921555987,1,1.57e-07,FALSE,FALSE,FALSE,0.28,0.493,-0.258,0.0225,0.235
"142","O15118",4864,"NPC1",0.623055231860975,0.383730815748994,1,0.00312,FALSE,FALSE,FALSE,0.111,0.197,-0.103,0.00846,0.0944
"143","O15121",8560,"DEGS1",0.26892042442831,0.269907264855612,1,0.000889,FALSE,FALSE,FALSE,0.25,0.25,-0.167,0.0836,0.0831
"144","O15126",9522,"SCAMP1",0.119366424972316,0.600203093369739,1,0.0144,FALSE,FALSE,FALSE,0.353,0.119,-0.157,0.196,-0.0384
"145","O15127",10066,"SCAMP2",0.00777389179115684,0.0827929153448926,1,1.09e-05,TRUE,FALSE,TRUE,0.603,0.393,-0.332,0.271,0.061
"146","O15143",10095,"ARPC1B",0.776159012379152,0.440884971876082,1,0.00508,FALSE,FALSE,FALSE,0.0644,0.175,-0.0796,-0.0153,0.0949
"147","O15144",10109,"ARPC2",0.682307138453575,0.166390451577503,1,0.000155,FALSE,FALSE,FALSE,0.0927,0.313,-0.135,-0.0427,0.178
"148","O15145",10094,"ARPC3",0.567188062456099,0.135069269633986,1,7.14e-05,FALSE,FALSE,FALSE,0.13,0.338,-0.156,-0.0264,0.182
"149","O15155",10282,"BET1",0.105357239641797,0.0291923488186258,1,1.5e-07,FALSE,FALSE,FALSE,0.367,0.494,-0.287,0.0799,0.207
"150","O15160",9533,"POLR1C",0.295172751644059,0.195618601417549,1,0.000277,FALSE,FALSE,FALSE,0.237,0.293,-0.177,0.0604,0.116
"151","O15164",8805,"TRIM24",0.755034073122151,0.238713025816013,1,0.000569,FALSE,FALSE,FALSE,0.0707,0.267,-0.113,-0.0418,0.154
"152","O15173",10424,"PGRMC2",0.800340146357234,0.9505386155953,1,0.0545,FALSE,FALSE,FALSE,-0.0573,-0.014,0.0238,-0.0335,0.00973
"153","O15195",50853,"VILL",0.740080576767198,0.889857178209043,1,0.0463,FALSE,FALSE,FALSE,0.0751,0.0314,-0.0355,0.0396,-0.00414
"154","O15212",10471,"PFDN6",0.845682660601105,0.341008183590433,1,0.00204,FALSE,FALSE,FALSE,0.0441,0.216,-0.0866,-0.0425,0.129
"155","O15213",9277,"WDR46",0.82113040971042,0.291680277007712,1,0.00117,FALSE,FALSE,FALSE,0.0512,0.239,-0.0967,-0.0455,0.142
"156","O15226",55922,"NKRF",0.225340216406883,0.236553598625871,1,0.00055,FALSE,FALSE,FALSE,0.275,0.268,-0.181,0.0937,0.0872
"157","O15228",8443,"GNPAT",0.366707513459567,0.177842999062337,1,0.000196,FALSE,FALSE,FALSE,0.204,0.305,-0.17,0.0346,0.135
"158","O15231",7739,"ZNF185",0.955492562197547,0.995592662483976,1,0.0607,FALSE,FALSE,FALSE,-0.0126,0.00125,0.0038,-0.00884,0.00505
"159","O15247",1193,"CLIC2",0.488561017721199,0.248210405138509,1,0.000655,FALSE,FALSE,FALSE,0.157,0.262,-0.139,0.0174,0.122
"160","O15260",6836,"SURF4",0.166850067562792,0.0944942815641851,1,1.84e-05,FALSE,FALSE,FALSE,0.313,0.379,-0.231,0.0825,0.148
"161","O15269",10558,"SPTLC1",0.621516020212626,0.128693469979271,1,5.95e-05,FALSE,FALSE,FALSE,0.112,0.344,-0.152,-0.0402,0.192
