"","ID_uniprot","GeneID_entrez"
"1850","P08397",3145
"2826","P08559",5160
"1108","P08574",1537
"3688","P08579",6629
"2295","P08581",4233
"139","P08582",4241
"3685","P08621",6625
"2015","P08648",3678
"2579","P08651",4782
"4281","P08670",7431
"3407","P08708",6218
"1674","P08754",2773
"500","P08758",308
"3433","P08865",3921
"2372","P09001",11222
"3686","P09012",6626
"1388","P09104",2026
"344","P09110",30
"3751","P09132",6728
"1745","P09211",2950
"2137","P09382",3956
"3186","P09417",5860
"1853","P09429",3146
"1521","P09467",2203
"4039","P09493",7168
"951","P09496",1211
"952","P09497",1212
"499","P09525",307
"973","P09543",1267
"109","P09601",3162
"1222","P09622",1738
"1863","P09651",3178
"3687","P09661",6627
"1021","P09669",1345
"3861","P09758",4070
"2785","P09874",142
"2955","P09884",5422
"1946","P09914",3434
"2196","P09960",4048
"464","P09972",230
"1716","P0CG08",51463
"1746","P0CG29",2953
"2984","P0CG39",653781
"1907","P0DMV9",3303
"2749","P0DP25",801
"2752","P0DPB6",51082
"2753","P0DPI2",8209
"1530","P10109",2230
"4087","P10155",6738
"2459","P10243",4603
"1592","P10253",2548
"3435","P10301",6237
"1821","P10412",3008
"1221","P10515",1737
"3165","P10586",5792
"4135","P10599",7295
"1019","P10606",1329
"1082","P10619",5476
"2307","P10620",4257
"3061","P10644",5573
"1432","P10768",2098
"1920","P10809",3329
"955","P10909",1191
"1912","P11021",3309
"2105","P11047",3915
"1914","P11142",3312
"3622","P11166",6513
"1393","P11171",2035
"4212","P11172",7372
"2827","P11177",5162
"3182","P11216",5834
"3239","P11233",5898
"3240","P11234",5899
"686","P11274",613
"2106","P11279",3916
"350","P11310",34
"4023","P11387",7150
"4024","P11388",7153
"1591","P11413",2539
"286","P11441",8266
"2796","P11498",5091
"2436","P11586",4522
"1955","P11717",3482
"396","P11766",128
"868","P11802",1019
"3086","P11908",5634
"843","P11912",973
"2759","P11940",26986
"2809","P12004",5111
"1780","P12081",3035
"989","P12109",1291
"3615","P12235",291
"3618","P12236",293
"1973","P12268",3615
"4044","P12270",7175
"927","P12277",1152
"498","P12429",306
"928","P12532",1159
"680","P12694",593
"380","P12814",87
"861","P12830",999
"3747","P12931",6714
"2849","P12955",5184
"4355","P12956",2547
"4354","P13010",7520
"1017","P13073",1327
"450","P13196",211
"122","P13473",3920
"3336","P13489",6050
"1936","P13598",3384
"1315","P13639",1938
"2830","P13667",9601
